player_name,minutes,games,goals,npg,position,team_title,league,season,source,wc_goals,wc_apps,wc_starts,wc_shots_on,wc_adj_g90,wc_note
Harry Kane,2469.0,32,33.833,24.25,F M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,2,1,1,3,1.2333,wc:2G/0A in 1app
Ousmane Dembélé,1496.0,27,15.583,14.0,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,2,2,0.9375,wc:1G/1A in 2app
Erling Haaland,3039.0,35,28.917,25.917,F S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,4,2,2,7,0.8564,wc:4G/0A in 2app
Patrik Schick,2024.0,31,18.083,15.333,F M S,Bayer Leverkusen,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.8041,wc:0G/0A in 2app
Marko Arnautovic,587.0,20,5.0,5.0,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,1,2,0,2,0.7666,wc:1G/0A in 2app
Deniz Undav,2097.0,30,17.833,17.833,F M S,VfB Stuttgart,Bundesliga,"2026,2025,2024",understat+espn_wc2026,3,2,0,4,0.7654,wc:3G/2A in 2app
Alexander Sørloth,1932.0,37,15.917,15.5,F S,Atletico Madrid,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,0,0.7415,wc:0G/0A in 2app
Ferrán Torres,1743.0,32,13.5,13.5,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,1,2,0.6971,wc:0G/0A in 2app
Ermedin Demirovic,1805.0,31,13.25,12.667,F S,VfB Stuttgart,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.6607,wc:0G/0A in 2app
Alexander Isak,1750.0,24,12.333,10.667,F S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,3,0.6343,wc:1G/3A in 2app
Igor Matanovic,1564.0,32,11.0,10.0,F S,Freiburg,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.633,wc:0G/0A in 1app
Raphinha,2179.0,30,15.083,12.5,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.623,wc:0G/0A in 2app
Donyell Malen,1088.0,20,7.421,6.316,F,Roma,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.6139,wc:0G/0A in 2app
Borja Iglesias,1930.0,36,12.75,10.417,F S,Celta Vigo,La_liga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.5946,no_wc_data
Can Uzun,981.0,22,6.333,5.75,M S,Eintracht Frankfurt,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.581,wc:0G/0A in 1app
Folarin Balogun,1746.0,25,11.25,9.5,F S,Monaco,Ligue_1,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.5799,wc:2G/0A in 2app
Bradley Barcola,2069.0,33,13.25,13.25,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,1,1,0.5764,wc:1G/0A in 2app
Marcus Thuram,2121.0,31,13.417,13.417,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.5693,wc:0G/0A in 1app
Gonçalo Ramos,1218.0,28,7.667,6.25,F S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.5665,wc:0G/0A in 1app
Omar Marmoush,1225.0,20,7.706,7.118,F M S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.5662,wc:0G/0A in 2app
Ante Budimir,3000.0,37,18.667,11.833,F S,Osasuna,La_liga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.56,no_wc_data
Viktor Gyokeres,2411.0,38,15.0,12.0,F S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,5,0.5599,wc:1G/1A in 2app
Leroy Sané,1794.0,32,11.0,11.0,M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,0,0.5518,wc:0G/0A in 2app
Amine Gouiri,1809.0,29,11.083,11.083,F M S,Marseille,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,2,2,0.5514,wc:1G/0A in 2app
Mohamed Salah,2831.0,34,17.167,12.833,F M S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,3,0.5458,wc:1G/2A in 2app
Luis Díaz,2529.0,35,15.167,15.167,M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,1,1,1,1,0.5398,wc:1G/1A in 1app
Pavel Sulc,1668.0,29,10.0,10.0,F M S,Lyon,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.5396,wc:0G/0A in 2app
Jamal Musiala,1304.0,21,7.75,7.167,F M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,1,2,2,1,0.5349,wc:1G/0A in 2app
Lautaro Martínez,2528.0,32,14.917,14.917,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.5311,wc:0G/0A in 2app
Jonathan Christian David,2253.0,36,13.167,10.667,F S,Juventus,Serie_A,"2026,2025,2024",understat+espn_wc2026,3,2,2,6,0.526,wc:3G/0A in 2app
Vinícius Júnior,2772.0,36,15.917,12.75,F M S,Real Madrid,La_liga,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.5168,wc:2G/1A in 2app
Yoane Wissa,1591.0,27,9.083,9.083,F S,Newcastle United,EPL,"2026,2025,2024",understat+espn_wc2026,1,1,1,1,0.5138,wc:1G/0A in 1app
Ollie Watkins,2807.0,37,16.0,15.167,F S,Aston Villa,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.513,no_wc_data
Michael Olise,2490.0,35,13.75,13.75,M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.497,wc:0G/3A in 2app
Kai Havertz,1279.0,19,6.917,6.917,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.4867,wc:2G/0A in 2app
Mikel Oyarzabal,2701.0,36,14.5,8.75,F S,Real Sociedad,La_liga,"2026,2025,2024",understat+espn_wc2026,2,2,2,4,0.4832,wc:2G/1A in 2app
Nick Woltemade,1808.0,31,9.667,8.25,F M S,Newcastle United,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4812,no_wc_data
Lamine Yamal,2642.0,33,14.083,12.333,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,1,2,1,2,0.4797,wc:1G/0A in 2app
Jean-Philippe Mateta,2419.0,34,12.833,9.667,F S,Crystal Palace,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4775,no_wc_data
Matheus Cunha,2658.0,35,14.083,14.083,F M S,Manchester United,EPL,"2026,2025,2024",understat+espn_wc2026,2,2,1,2,0.4769,wc:2G/0A in 2app
Julián Álvarez,2239.0,34,11.75,8.917,F S,Atletico Madrid,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,0,1,0.4723,wc:0G/0A in 2app
Nicolas Jackson,1690.0,28,8.833,8.833,F M S,Bayern Munich,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.4704,wc:0G/1A in 2app
Chris Wood,1949.0,26,10.083,8.833,F S,Nottingham Forest,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.4656,wc:0G/2A in 2app
Andrej Kramaric,2511.0,34,12.75,8.583,F M S,Hoffenheim,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.457,wc:0G/0A in 1app
Haris Tabakovic,1743.0,28,8.833,8.833,F S,Borussia M.Gladbach,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4561,no_wc_data
Michael Gregoritsch,869.0,19,4.333,3.75,F S,Augsburg,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.4488,wc:0G/0A in 1app
Marcus Rashford,1640.0,30,8.167,7.75,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,1,1,0,1,0.4482,wc:1G/0A in 1app
George Hirst,609.0,26,3.0,3.0,F S,Ipswich,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4433,no_wc_data
Wilson Isidor,1248.0,34,6.0,6.0,F S,Sunderland,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.4327,wc:0G/0A in 2app
Cyle Larin,1887.0,34,9.0,8.0,F S,Mallorca,La_liga,"2026,2025,2024",understat+espn_wc2026,2,2,1,3,0.4293,wc:2G/0A in 2app
Romelu Lukaku,3019.0,38,14.0,11.0,F S,Napoli,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.4174,wc:0G/0A in 2app
Maximilian Beier,1864.0,31,8.583,8.583,D F M S,Borussia Dortmund,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4144,no_wc_data
Noah Okafor,1110.0,23,5.083,5.083,F M S,Leeds,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4121,no_wc_data
Shuto Machino,1402.0,32,6.333,5.5,F M S,Borussia M.Gladbach,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.4065,no_wc_data
Raúl Jiménez,2503.0,39,11.25,7.667,F S,Fulham,EPL,"2026,2025,2024",understat+espn_wc2026,1,2,2,3,0.4045,wc:1G/0A in 2app
Christian Pulisic,2067.0,33,9.25,8.0,F S,AC Milan,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.4028,wc:0G/1A in 1app
Dani Olmo,1845.0,32,8.25,7.417,F M S,Barcelona,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.4024,wc:0G/1A in 2app
Antoine Semenyo,3298.0,38,14.5,13.917,F M,"Bournemouth,Manchester City",EPL,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.3957,wc:0G/0A in 1app
Brian Brobbey,2049.0,33,9.0,9.0,F S,Sunderland,EPL,"2026,2025,2024",understat+espn_wc2026,2,2,1,2,0.3953,wc:2G/0A in 2app
Breel Embolo,2019.0,32,8.75,8.75,F S,Rennes,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,2,1,0.39,wc:1G/1A in 2app
Nadiem Amiri,2302.0,29,9.917,4.417,F M S,Mainz 05,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.3877,wc:0G/1A in 1app
Rayan,1174.0,16,5.0,5.0,M S,Bournemouth,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3833,wc:0G/0A in 1app
Yan Diomande,1845.0,25,7.833,7.833,F M S,RasenBallsport Leipzig,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,2,0,0.3821,wc:0G/0A in 2app
Darwin Núñez,1178.0,32,5.0,5.0,F S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.382,wc:0G/0A in 2app
Keito Nakamura,2858.0,34,12.0,12.0,F M S,Reims,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,2,1,0.3779,wc:1G/1A in 2app
Ibrahim Mbaye,762.0,20,3.167,3.167,F M S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,1,2,0,1,0.3741,wc:1G/0A in 2app
Assan Ouédraogo,970.0,19,4.0,4.0,F M S,RasenBallsport Leipzig,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.3711,no_wc_data
Ismaila Sarr,2569.0,34,10.583,8.833,F M S,Crystal Palace,EPL,"2026,2025,2024",understat+espn_wc2026,2,2,2,3,0.3708,wc:2G/0A in 2app
Rafael Leão,2092.0,32,8.583,7.417,F S,AC Milan,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3692,wc:0G/0A in 1app
Désiré Doué,1625.0,28,6.583,6.583,F M S,Paris Saint Germain,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.3646,wc:0G/0A in 2app
Mikel Merino,1298.0,26,5.25,5.25,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,0,1,0.364,wc:0G/0A in 2app
Adam Hlozek,1996.0,29,8.0,8.0,F M S,Hoffenheim,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.3607,wc:0G/0A in 2app
Justin Kluivert,1541.0,26,6.167,3.667,M S,Bournemouth,EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.3602,no_wc_data
Mohammed Amoura,2212.0,31,8.833,7.417,F M S,Wolfsburg,Bundesliga,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3594,wc:0G/0A in 1app
Cody Gakpo,2586.0,38,10.25,10.25,F M S,Liverpool,EPL,"2026,2025,2024",understat+espn_wc2026,2,2,2,5,0.3567,wc:2G/1A in 2app
Cédric Bakambu,670.0,22,2.583,2.583,F S,Real Betis,La_liga,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.347,wc:0G/0A in 1app
Assane Diao,1169.0,16,4.5,4.5,M S,Como,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.3464,no_wc_data
Endrick,891.0,19,3.333,2.75,F M S,Lyon,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3367,wc:0G/0A in 1app
Gonçalo Guedes,1473.0,31,5.5,5.5,F M S,Real Sociedad,La_liga,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.336,no_wc_data
Hakan Calhanoglu,1965.0,27,7.333,3.75,M S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,2,0.3359,wc:0G/0A in 2app
Dodi Lukebakio,3145.0,39,11.0,10.0,F M S,Sevilla,La_liga,"2026,2025,2024",understat+espn_wc2026,0,1,0,1,0.3148,wc:0G/0A in 1app
Eldor Shomurodov,1160.0,28,4.0,4.0,F M S,Roma,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,1,1,0.3103,wc:0G/0A in 1app
Evann Guessand,1652.0,27,5.583,5.583,M S,"Aston Villa,Crystal Palace",EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3042,wc:0G/0A in 1app
Nico Paz,2849.0,36,9.5,9.5,F M S,Como,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.3001,wc:0G/0A in 1app
Matias Fernandez-Pardo,1902.0,28,6.333,5.167,F M S,Lille,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,2,0,0,0.2997,wc:0G/0A in 2app
Jørgen Strand Larsen,2466.0,36,8.167,7.583,F S,"Crystal Palace,Wolverhampton Wanderers",EPL,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.2981,no_wc_data
Federico Viñas,2731.0,36,9.0,7.0,F M S,Real Oviedo,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,3,0.2966,wc:0G/0A in 2app
Bukayo Saka,2069.0,30,6.583,5.583,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.2864,wc:0G/1A in 1app
Tajon Buchanan,1416.0,28,4.5,4.5,F M S,Villarreal,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.286,wc:0G/0A in 2app
Kenan Yildiz,2790.0,38,8.75,8.167,F M S,Juventus,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.2823,wc:0G/0A in 2app
Che Adams,2368.0,36,7.25,7.25,F M S,Torino,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,2,1,0.2755,wc:0G/0A in 2app
Nicolas Pepe,2180.0,35,6.5,5.333,F M S,Villarreal,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,1,0,0.2683,wc:0G/0A in 2app
Ange-Yoan Bonny,1830.0,37,5.417,4.583,F S,Inter,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,2,1,1,0.2664,wc:0G/0A in 2app
Nico Williams,1887.0,29,5.583,5.0,M S,Athletic Club,La_liga,"2026,2025,2024",understat+espn_wc2026,0,2,0,0,0.2663,wc:0G/0A in 2app
Leandro Trossard,2408.0,36,6.833,6.833,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,0,0.2554,wc:0G/0A in 2app
Jordan Ayew,1766.0,32,5.0,4.0,F M S,"Crystal Palace,Leicester",EPL,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.2548,wc:0G/0A in 1app
Anthony Gordon,2210.0,30,6.0,3.833,F M S,Newcastle United,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,1,1,0.2443,wc:0G/0A in 1app
Ernest Nuamah,1116.0,24,3.0,3.0,F M S,Lyon,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.2419,wc:0G/0A in 1app
Iliman Ndiaye,2697.0,33,7.25,5.25,M,Everton,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.2419,wc:0G/1A in 1app
Santiago Giménez,833.0,16,2.083,2.083,F S,AC Milan,Serie_A,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.2251,wc:0G/0A in 1app
Gabriel Martinelli,1588.0,32,3.917,3.917,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.222,wc:0G/0A in 1app
Noni Madueke,1685.0,30,4.083,4.083,F M S,Arsenal,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.2181,wc:0G/0A in 1app
Jéremy Doku,1751.0,31,4.167,4.167,F M S,Manchester City,EPL,"2026,2025,2024",understat+espn_wc2026,0,1,1,0,0.2142,wc:0G/0A in 1app
Oumar Diakité,1696.0,26,4.0,4.0,F S,Reims,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,0,0,0,0.2123,no_wc_data
Simon Adingra,878.0,19,2.0,2.0,D F M S,Monaco,Ligue_1,"2026,2025,2024",understat+espn_wc2026,0,1,0,0,0.205,wc:0G/0A in 1app
Dan Ndoye,1749.0,28,3.917,3.083,F M S,Nottingham Forest,EPL,"2026,2025,2024",understat+espn_wc2026,0,2,2,4,0.2016,wc:0G/0A in 2app
